#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-04-16 04:32:35 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/ca/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
# 80155		Suspended sediment discharge, tons per day		5	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	11458000	00060	2	1974	6	23.5
USGS	11458000	00060	2	1974	7	13.6
USGS	11458000	00060	2	1974	8	7.71
USGS	11458000	00060	2	1974	9	8.34
USGS	11458000	00060	2	1974	10	6.75
USGS	11458000	00060	2	1974	11	7.46
USGS	11458000	00060	2	1974	12	32.2
USGS	11458000	00060	2	1975	1	46.3
USGS	11458000	00060	2	1975	2	1024
USGS	11458000	00060	2	1975	3	987.8
USGS	11458000	00060	2	1975	4	208.5
USGS	11458000	00060	2	1975	5	58.1
USGS	11458000	00060	2	1975	6	19.9
USGS	11458000	00060	2	1975	7	9.13
USGS	11458000	00060	2	1975	8	4.98
USGS	11458000	00060	2	1975	9	6.67
USGS	11458000	00060	2	1975	10	10.3
USGS	11458000	00060	2	1975	11	13.7
USGS	11458000	00060	2	1975	12	11.1
USGS	11458000	00060	2	1976	1	10.6
USGS	11458000	00060	2	1976	2	6.50
USGS	11458000	00060	2	1976	3	20.2
USGS	11458000	00060	2	1976	4	14.9
USGS	11458000	00060	2	1976	5	2.45
USGS	11458000	00060	2	1976	6	0.106
USGS	11458000	00060	2	1976	7	0.003
USGS	11458000	00060	2	1976	8	0.048
USGS	11458000	00060	2	1976	9	0.174
USGS	11458000	00060	2	1976	10	0.565
USGS	11458000	00060	2	1976	11	1.19
USGS	11458000	00060	2	1976	12	0.730
USGS	11458000	00060	2	1977	1	2.91
USGS	11458000	00060	2	1977	2	0.425
USGS	11458000	00060	2	1977	3	2.60
USGS	11458000	00060	2	1977	4	0.198
USGS	11458000	00060	2	1977	5	0.000
USGS	11458000	00060	2	1977	6	0.000
USGS	11458000	00060	2	1977	7	0.000
USGS	11458000	00060	2	1977	8	0.000
USGS	11458000	00060	2	1977	9	0.000
USGS	11458000	00060	2	1977	10	0.000
USGS	11458000	00060	2	1977	11	75.2
USGS	11458000	00060	2	1977	12	233.7
USGS	11458000	00060	2	1978	1	1559
USGS	11458000	00060	2	1978	2	818.4
USGS	11458000	00060	2	1978	3	716.9
USGS	11458000	00060	2	1978	4	221.7
USGS	11458000	00060	2	1978	5	63.5
USGS	11458000	00060	2	1978	6	18.8
USGS	11458000	00060	2	1978	7	8.17
USGS	11458000	00060	2	1978	8	4.33
USGS	11458000	00060	2	1978	9	3.06
USGS	11458000	00060	2	1978	10	2.51
USGS	11458000	00060	2	1978	11	4.66
USGS	11458000	00060	2	1978	12	5.82
USGS	11458000	00060	2	1979	1	304.0
USGS	11458000	00060	2	1979	2	645.3
USGS	11458000	00060	2	1979	3	292.3
USGS	11458000	00060	2	1979	4	110.2
USGS	11458000	00060	2	1979	5	55.3
USGS	11458000	00060	2	1979	6	13.1
USGS	11458000	00060	2	1979	7	6.02
USGS	11458000	00060	2	1979	8	4.06
USGS	11458000	00060	2	1979	9	2.59
USGS	11458000	00060	2	1979	10	12.3
USGS	11458000	00060	2	1979	11	21.3
USGS	11458000	00060	2	1979	12	207.2
USGS	11458000	00060	2	1980	1	1175
USGS	11458000	00060	2	1980	2	1622
USGS	11458000	00060	2	1980	3	469.5
USGS	11458000	00060	2	1980	4	110.0
USGS	11458000	00060	2	1980	5	42.6
USGS	11458000	00060	2	1980	6	14.5
USGS	11458000	00060	2	1980	7	5.60
USGS	11458000	00060	2	1980	8	3.93
USGS	11458000	00060	2	1980	9	3.38
USGS	11458000	00060	2	1980	10	2.83
USGS	11458000	00060	2	1980	11	3.48
USGS	11458000	00060	2	1980	12	78.5
USGS	11458000	00060	2	1981	1	353.3
USGS	11458000	00060	2	1981	2	179.1
USGS	11458000	00060	2	1981	3	218.1
USGS	11458000	00060	2	1981	4	75.9
USGS	11458000	00060	2	1981	5	25.6
USGS	11458000	00060	2	1981	6	7.06
USGS	11458000	00060	2	1981	7	2.19
USGS	11458000	00060	2	1981	8	2.74
USGS	11458000	00060	2	1981	9	1.45
USGS	11458000	00060	2	1981	10	7.22
USGS	11458000	00060	2	1981	11	537.5
USGS	11458000	00060	2	1981	12	1318
USGS	11458000	00060	2	1982	1	1465
USGS	11458000	00060	2	1982	2	1020
