#
#
"# US Geological Survey, Water Resources Data"
# retrieved: 2014-02-06 16:21:33 EST      (nadww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
"# For more details on why the statistics may not match, visit http://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer."
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd  Parameter Name                                  dd_nu   Location Name
"# 00060         Discharge, cubic feet per second                2       "
"# 80154         Suspended sediment concentration, milligrams per liter          4       "
"# 80155         Suspended sediment discharge, tons per day              5       "
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd       site_no parameter_cd    dd_nu   month_nu        day_nu  begin_yr        end_yr  count_nu        max_va_yr       max_va  min_va_yr       min_va  mean_va p05_va  p10_va  p20_va  p25_va  p50_va  p75_va  p80_va  p90_va  p95_va
5s      15s     5s      11n     3n      3n      6n      6n      8n      5n      12s     5n      12s     12s     12s     12s     12s     12s     12s     12s     12s     12s     12s
USGS    11458000        00060   2       3       16      1960    2013    54      1986    5000    1976    3.2     542     26      38      86      121     269     422     815     1630    2320
USGS    11458000        00060   2       3       17      1960    2013    54      1983    2610    1976    4.6     449     25      36      84      111     244     471     610     1160    2300
USGS    11458000        00060   2       3       18      1960    2013    54      1983    2370    1976    8.3     377     14      36      83      127     225     396     475     986     1430
USGS    11458000        00060   2       3       19      1960    2013    54      2011    2580    1977    3.4     351     18      35      80      111     226     350     442     958     1280
USGS    11458000        00060   2       3       20      1960    2013    54      2011    9420    1977    1.6     459     19      35      74      100     210     349     497     797     1340
USGS    11458000        00060   2       3       21      1960    2013    54      2011    3540    1977    0.75    379     19      36      70      89      203     329     453     725     1860
USGS    11458000        00060   2       3       22      1960    2013    54      1975    4880    1977    0.38    481     18      37      65      89      200     327     386     1100    4040
USGS    11458000        00060   2       3       23      1960    2013    54      1995    3910    1977    1.0     395     17      36      64      87      199     309     385     1070    2100
USGS    11458000        00060   2       3       24      1960    2013    54      2011    4980    1977    0.10    449     17      34      66      81      188     315     473     1280    2450
USGS    11458000        00060   2       3       25      1960    2013    54      2011    4700    1977    0.24    471     17      33      59      79      178     394     544     1550    2480
USGS    11458000        00060   2       3       26      1960    2013    54      2011    4350    1976    1.8     419     15      32      60      81      177     402     536     1290    1820
USGS    11458000        00060   2       3       27      1960    2013    54      2011    2650    1976    0.95    371     15      30      65      78      171     544     659     989     1430
USGS    11458000        00060   2       3       28      1960    2013    54      1963    3350    1976    0.47    414     11      30      62      72      160     474     561     1130    2070
USGS    11458000        00060   2       3       29      1960    2013    54      1974    2200    1976    0.60    329     7.9     30      57      70      148     371     435     1100    1390
USGS    11458000        00060   2       3       30      1960    2013    54      1974    6350    1977    1.0     397     13      29      58      66      145     343     520     939     1310
USGS    11458000        00060   2       3       31      1960    2013    54      1982    10800   1977    0.75    480     15      30      54      63      137     283     460     894     1450
USGS    11458000        00060   2       4       1       1960    2013    54      1982    3490    1977    0.75    364     15      31      57      63      137     319     415     830     2140
USGS    11458000        00060   2       4       2       1960    2013    54      1982    4070    1976    0.46    324     14      30      53      65      128     278     375     684     1550
USGS    11458000        00060   2       4       3       1960    2013    54      1982    4340    1977    0.01    313     14      28      50      56      132     292     342     517     1660
USGS    11458000        00060   2       4       4       1960    2013    54      1982    2180    1977    0.00    255     15      28      44      52      126     318     366     490     1270
USGS    11458000        00060   2       4       5       1960    2013    54      2006    1870    1977    0.00    238     14      27      45      51      122     292     372     502     1040
USGS    11458000        00060   2       4       6       1960    2013    54      1963    2390    1977    0.00    265     11      26      44      48      117     294     361     585     1410
USGS    11458000        00060   2       4       7       1960    2013    54      1963    2140    1977    0.00    234     11      26      39      48      108     286     314     483     1160
USGS    11458000        00060   2       4       8       1960    2013    54      1963    1320    1977    0.00    208     21      28      41      55      108     257     300     472     1010
USGS    11458000        00060   2       4       9       1960    2013    54      1963    966     1977    0.00    196     21      30      36      53      106     251     273     587     883
USGS    11458000        00060   2       4       10      1960    2013    54      1982    1390    1977    0.00    196     20      29      34      51      98      221     257     544     886
USGS    11458000        00060   2       4       11      1960    2013    54      1982    6090    1977    1.4     305     20      28      38      49      93      225     256     592     1330
USGS    11458000        00060   2       4       12      1960    2013    54      2006    4480    1977    1.7     321     20      27      39      52      97      228     253     644     2390
USGS    11458000        00060   2       4       13      1960    2013    54      2006    2890    1977    1.0     271     19      28      38      50      93      203     296     710     1740
USGS    11458000        00060   2       4       14      1960    2013    54      1963    2330    1977    0.48    244     18      27      37      48      86      189     275     611     1570
USGS    11458000        00060   2       4       15      1960    2013    54      1963    2120    1977    0.00    209     18      24      34      46      83      217     263     470     1190
USGS    11458000        00060   2       4       16      1960    2013    54      2006    1500    1977    0.00    197     18      23      31      41      81      214     277     480     1040
USGS    11458000        00060   2       4       17      1960    2013    54      2006    1280    1977    0.00    176     15      22      31      40      81      214     250     480     840
USGS    11458000        00060   2       4       18      1960    2013    54      1967    1030    1977    0.00    164     15      23      32      40      75      188     214     446     810
